City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
159,Port Hawkesbury,CA,2022-08-07 02:54:42,45.6169,-61.3485,71.96,96,0,3.0
160,Srednekolymsk,RU,2022-08-07 02:54:43,67.45,153.6833,60.85,47,94,11.81
161,Zunyi,CN,2022-08-07 02:54:43,27.6867,106.9072,75.34,82,78,7.16
162,Hamilton,US,2022-08-07 02:51:44,39.1834,-84.5333,76.91,92,0,6.91
163,Bonthe,SL,2022-08-07 02:54:43,7.5264,-12.505,76.1,84,100,9.84
164,Shar,KZ,2022-08-07 02:54:44,49.5886,81.0453,69.93,36,27,13.06
165,Kindu,CD,2022-08-07 02:53:54,-2.95,25.95,70.36,79,80,2.68
166,Abu Dhabi,AE,2022-08-07 02:50:51,24.4667,54.3667,91.51,55,0,4.61
167,Ribeira Grande,PT,2022-08-07 02:54:44,38.5167,-28.7,74.93,84,27,13.47
168,Ponta Delgada,PT,2022-08-07 02:54:45,37.7333,-25.6667,72.32,94,40,4.61
169,Takoradi,GH,2022-08-07 02:54:45,4.8845,-1.7554,71.69,87,1,5.14
170,Dartford,GB,2022-08-07 02:54:45,51.4435,0.2196,60.3,79,37,0.94
171,Rundu,NA,2022-08-07 02:54:46,-17.9333,19.7667,56.93,42,2,3.15
172,Bay City,US,2022-08-07 02:52:08,43.5945,-83.8889,82.62,78,20,6.91
173,Verkhoyansk,RU,2022-08-07 02:50:41,67.5447,133.385,58.42,82,100,3.74
174,Shimoda,JP,2022-08-07 02:54:19,34.6667,138.95,80.1,75,64,4.59
175,Espumoso,BR,2022-08-07 02:54:46,-28.7247,-52.8497,51.01,96,100,6.69
176,Tuktoyaktuk,CA,2022-08-07 02:54:47,69.4541,-133.0374,48.2,93,100,17.27
177,Qiongshan,CN,2022-08-07 02:54:47,20.0058,110.3542,85.98,79,40,4.47
178,Sandwick,GB,2022-08-07 02:54:47,60.0,-1.25,55.22,100,75,18.41
179,Upata,VE,2022-08-07 02:54:48,8.0086,-62.3989,77.2,92,4,3.47
180,Fairbanks,US,2022-08-07 02:50:41,64.8378,-147.7164,60.76,81,75,10.36
181,Port Elizabeth,ZA,2022-08-07 02:54:48,-33.918,25.5701,58.1,93,100,17.27
182,Bull Savanna,JM,2022-08-07 02:55:48,17.8868,-77.5902,77.32,84,99,9.75
183,Plettenberg Bay,ZA,2022-08-07 02:55:49,-34.0527,23.3716,56.32,88,48,14.03
184,Cherskiy,RU,2022-08-07 02:55:49,68.75,161.3,45.82,56,34,19.19
185,Chuy,UY,2022-08-07 02:55:50,-33.6971,-53.4616,47.64,84,100,5.73
186,Kamenka,RU,2022-08-07 02:55:50,51.3223,42.7678,70.56,45,91,8.41
187,Morgan Hill,US,2022-08-07 02:55:50,37.1305,-121.6544,71.31,56,0,9.22
188,Cayenne,GF,2022-08-07 02:53:44,4.9333,-52.3333,79.09,1,0,0.0
189,Ilhabela,BR,2022-08-07 02:55:51,-23.7781,-45.3581,66.97,91,100,8.37
190,Kruisfontein,ZA,2022-08-07 02:55:51,-34.0033,24.7314,55.89,90,100,15.95
191,Fereydun Kenar,IR,2022-08-07 02:55:51,36.6864,52.5225,80.82,78,75,4.61
192,Torbay,CA,2022-08-07 02:55:52,47.6666,-52.7314,64.27,89,40,11.5
193,Katsuura,JP,2022-08-07 02:55:52,35.1333,140.3,83.12,78,35,10.07
194,Khatanga,RU,2022-08-07 02:55:53,71.9667,102.5,60.87,71,100,10.2
195,Whyalla,AU,2022-08-07 02:55:53,-33.0333,137.5833,56.98,54,5,7.2
196,Yellowknife,CA,2022-08-07 02:55:53,62.456,-114.3525,61.32,82,75,6.91
197,Neuquen,AR,2022-08-07 02:55:54,-38.9516,-68.0591,39.09,93,100,6.91
198,Paita,PE,2022-08-07 02:55:54,-5.0892,-81.1144,62.98,84,22,14.52
