City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
152,Puro,PH,2022-08-11 04:30:12,12.4841,123.3827,84.31,72,95,6.33,overcast clouds
153,Shebunino,RU,2022-08-11 04:30:12,46.4339,141.8603,72.25,82,96,13.09,light rain
154,New Norfolk,AU,2022-08-11 04:30:13,-42.7826,147.0587,56.7,73,99,3.4,overcast clouds
155,Chicama,PE,2022-08-11 04:30:13,-7.8447,-79.1469,59.54,83,87,4.05,overcast clouds
156,Yasnaya Polyana,RU,2022-08-11 04:30:14,44.0225,42.7539,62.8,48,1,2.75,clear sky
157,Rassvet,RU,2022-08-11 04:30:14,46.8333,40.75,74.77,55,61,14.5,broken clouds
158,Naifaru,MV,2022-08-11 04:30:14,5.4444,73.3657,82.17,79,48,11.45,scattered clouds
159,Harper,LR,2022-08-11 04:25:18,4.375,-7.7169,73.9,80,80,6.49,broken clouds
160,Aljezur,PT,2022-08-11 04:30:15,37.3191,-8.8033,61.86,92,0,0.54,clear sky
161,Guanica,PR,2022-08-11 04:30:15,17.9716,-66.908,81.05,81,100,7.27,overcast clouds
162,Nuuk,GL,2022-08-11 04:30:16,64.1835,-51.7216,41.88,93,40,8.05,fog
163,Ixtapa,MX,2022-08-11 04:30:16,20.7,-105.2,80.22,83,100,0.0,overcast clouds
164,Santa Vitoria Do Palmar,BR,2022-08-11 04:25:18,-33.5189,-53.3681,48.99,90,100,4.5,overcast clouds
165,Necochea,AR,2022-08-11 04:30:03,-38.5473,-58.7368,43.27,78,0,13.53,clear sky
166,Tuktoyaktuk,CA,2022-08-11 04:30:17,69.4541,-133.0374,48.2,93,100,21.85,light rain
167,Nata,PA,2022-08-11 04:30:17,8.3333,-80.5167,74.98,95,99,3.83,overcast clouds
168,Saldanha,ZA,2022-08-11 04:30:17,-33.0117,17.9442,55.45,90,100,2.98,overcast clouds
169,Kahului,US,2022-08-11 04:30:18,20.8947,-156.47,84.22,72,20,26.46,few clouds
170,Salalah,OM,2022-08-11 04:21:27,17.0151,54.0924,77.09,100,100,5.75,mist
171,Merauke,ID,2022-08-11 04:30:18,-8.4667,140.3333,82.24,71,81,13.51,broken clouds
172,Iqaluit,CA,2022-08-11 04:30:18,63.7506,-68.5145,44.33,81,20,8.99,few clouds
173,Taiyuan,CN,2022-08-11 04:30:19,37.8694,112.5603,76.86,73,50,6.71,scattered clouds
174,Calama,CL,2022-08-11 04:30:19,-22.4667,-68.9333,50.9,10,0,8.23,clear sky
175,Soe,ID,2022-08-11 04:30:19,-9.8607,124.284,81.54,44,16,10.54,few clouds
176,Lethem,GY,2022-08-11 04:30:20,3.3803,-59.7968,76.51,75,65,4.79,broken clouds
177,Esperance,AU,2022-08-11 04:27:44,-33.8667,121.9,57.9,68,87,15.61,overcast clouds
178,Snejbjerg,DK,2022-08-11 04:30:20,56.1387,8.899,56.52,77,0,2.98,clear sky
179,Concepcion,CL,2022-08-11 04:28:55,-36.827,-73.0498,40.8,100,40,2.3,mist
180,Pevek,RU,2022-08-11 04:26:06,69.7008,170.3133,43.21,92,21,1.77,few clouds
181,Torbay,CA,2022-08-11 04:22:13,47.6666,-52.7314,57.38,89,100,9.22,overcast clouds
182,Tasiilaq,GL,2022-08-11 04:28:39,65.6145,-37.6368,37.56,77,79,2.77,broken clouds
183,Umba,RU,2022-08-11 04:30:21,66.6871,34.3429,57.24,89,100,12.75,overcast clouds
184,Ngaoundere,CM,2022-08-11 04:30:52,7.3167,13.5833,63.86,99,100,2.98,light rain
185,Pangody,RU,2022-08-11 04:23:37,65.85,74.4859,58.75,50,20,2.89,few clouds
186,Longyearbyen,SJ,2022-08-11 04:22:08,78.2186,15.6401,48.04,71,75,17.27,broken clouds
187,Acapulco,MX,2022-08-11 04:19:32,16.8634,-99.8901,82.22,74,75,4.61,broken clouds
188,Chokurdakh,RU,2022-08-11 04:30:52,70.6333,147.9167,68.7,48,100,15.21,overcast clouds
189,Abeche,TD,2022-08-11 04:30:53,13.8292,20.8324,75.81,79,86,5.97,overcast clouds
190,Inhambane,MZ,2022-08-11 04:30:53,-23.865,35.3833,60.78,100,0,0.0,fog
191,Okhotsk,RU,2022-08-11 04:30:53,59.3833,143.3,58.57,90,100,9.71,light rain
192,Ancud,CL,2022-08-11 04:30:54,-41.8697,-73.8203,51.22,95,100,14.34,light rain
193,Dolores,AR,2022-08-11 04:30:54,-36.3132,-57.6792,42.37,95,3,7.02,clear sky
194,Fortuna,US,2022-08-11 04:22:54,40.5982,-124.1573,63.99,92,75,8.05,broken clouds
195,Kayerkan,RU,2022-08-11 04:30:54,69.3497,87.7602,50.52,71,89,8.19,overcast clouds
196,Mana,GF,2022-08-11 04:30:55,5.6592,-53.7767,78.08,85,78,6.69,broken clouds
197,Saint-Augustin,CA,2022-08-11 04:30:55,51.226,-58.6502,54.43,94,0,6.31,clear sky
198,Takoradi,GH,2022-08-11 04:30:55,4.8845,-1.7554,72.27,95,58,6.78,broken clouds
199,Fuerte Olimpo,PY,2022-08-11 04:30:56,-21.0415,-57.8738,50.97,83,0,4.56,clear sky
200,Moctezuma,MX,2022-08-11 04:30:56,29.8,-109.6667,70.61,92,100,4.56,overcast clouds
201,Chapais,CA,2022-08-11 04:30:56,49.7834,-74.8492,55.18,96,20,7.83,few clouds
202,Sitka,US,2022-08-11 04:30:57,57.0531,-135.33,60.69,77,100,0.0,overcast clouds
